__run_id,__done,algorithm,language,runtime,id,energy_usage,execution_time,memory_usage,cpu_usage,storage
run_161,DONE,nbody,c,wasmer,1,397.557,207730,0.5,98.708,17334
run_158,DONE,nbody,go,wasmtime,8,212.974,111930,1.099,99.094,245403
run_92,DONE,spectral-norm,go,wasmtime,2,201.563,105710,1.183,96.415,250426
run_10,DONE,binarytrees,rust,wasmtime,0,201.619,105620,1.198,100.042,2032739
run_134,DONE,nbody,rust,wasmtime,4,207.312,108880,0.8,99.763,2059234
run_9,DONE,binarytrees,rust,wasmer,9,194.021,101790,1.099,99.284,2032739
run_160,DONE,nbody,c,wasmer,0,397.335,207730,0.4,99.518,17334
run_129,DONE,nbody,rust,wasmer,9,213.152,111860,0.8,99.961,2059234
run_72,DONE,spectral-norm,rust,wasmtime,2,708.507,370040,0.9,99.649,2061071
run_177,DONE,nbody,c,wasmtime,7,365.044,191440,0.9,98.397,17334
run_163,DONE,nbody,c,wasmer,3,397.862,207680,0.4,98.07,17334
run_135,DONE,nbody,rust,wasmtime,5,207.319,108900,0.8,98.912,2059234
run_98,DONE,spectral-norm,go,wasmtime,8,201.597,105720,1.199,97.634,250426
run_38,DONE,binarytrees,go,wasmtime,8,3313.058,1729500,2.798,99.994,209167
run_87,DONE,spectral-norm,go,wasmer,7,184.357,96850,1.083,98.973,250426
run_3,DONE,binarytrees,rust,wasmer,3,193.871,101790,1.099,99.472,2032739
run_125,DONE,nbody,rust,wasmer,5,213.051,111850,0.8,99.502,2059234
run_130,DONE,nbody,rust,wasmtime,0,207.339,108970,0.802,98.149,2059234
run_149,DONE,nbody,go,wasmer,9,184.454,96890,0.9,100.197,245403
run_102,DONE,spectral-norm,c,wasmer,2,459.01,239670,0.5,98.547,20542
run_128,DONE,nbody,rust,wasmer,8,213.263,111880,0.8,98.459,2059234
run_96,DONE,spectral-norm,go,wasmtime,6,201.666,105680,1.183,100.079,250426
run_127,DONE,nbody,rust,wasmer,7,213.162,111860,0.8,99.96,2059234
run_159,DONE,nbody,go,wasmtime,9,213.271,111920,1.098,99.098,245403
run_107,DONE,spectral-norm,c,wasmer,7,459.011,239710,0.498,98.733,20542
run_89,DONE,spectral-norm,go,wasmer,9,184.492,96860,1.097,98.379,250426
run_113,DONE,spectral-norm,c,wasmtime,3,399.434,208630,1.0,99.456,20542
run_61,DONE,spectral-norm,rust,wasmer,1,693.359,362530,0.9,99.942,2061071
run_117,DONE,spectral-norm,c,wasmtime,7,399.536,208630,1.0,99.803,20542
run_90,DONE,spectral-norm,go,wasmtime,0,200.144,105740,1.199,96.343,250426
run_166,DONE,nbody,c,wasmer,6,397.524,207680,0.4,99.985,17334
run_138,DONE,nbody,rust,wasmtime,8,207.466,108900,0.802,96.499,2059234
run_119,DONE,spectral-norm,c,wasmtime,9,399.528,208610,1.0,99.953,20542
run_143,DONE,nbody,go,wasmer,3,184.306,96910,0.9,96.204,245403
run_67,DONE,spectral-norm,rust,wasmer,7,693.396,362540,0.8,99.39,2061071
run_93,DONE,spectral-norm,go,wasmtime,3,201.803,105690,1.183,97.662,250426
run_144,DONE,nbody,go,wasmer,4,184.485,96880,0.9,96.231,245403
run_104,DONE,spectral-norm,c,wasmer,4,458.97,239640,0.498,98.97,20542
run_121,DONE,nbody,rust,wasmer,1,213.198,111840,0.8,99.191,2059234
run_18,DONE,binarytrees,rust,wasmtime,8,201.652,105580,1.198,97.011,2032739
run_60,DONE,spectral-norm,rust,wasmer,0,693.398,362540,0.8,100.034,2061071
run_5,DONE,binarytrees,rust,wasmer,5,193.953,101800,1.099,99.88,2032739
run_146,DONE,nbody,go,wasmer,6,184.29,96900,0.9,99.868,245403
run_21,DONE,binarytrees,go,wasmer,1,3035.562,1584500,2.599,99.984,209167
run_39,DONE,binarytrees,go,wasmtime,9,3313.778,1731160,2.798,99.825,209167
run_148,DONE,nbody,go,wasmer,8,182.13,96970,0.9,99.027,245403
run_152,DONE,nbody,go,wasmtime,2,212.911,111920,1.098,99.283,245403
run_150,DONE,nbody,go,wasmtime,0,213.117,111940,1.099,97.528,245403
